,pregweek,Q3,Q5,Q10,Q95,Q97.5,median
1,15,79.93422223,81.68699021,84.38591481,106.1258051,108.4667197,93.90639766
2,15.14285714,81.25577083,83.02200807,85.74167273,107.6486246,110.0075281,95.33531635
3,15.28571429,82.58295735,84.36266384,87.10306857,109.1770821,111.5539745,96.76987296
4,15.42857143,83.91567997,85.70885572,88.47000051,110.7110756,113.1059569,98.20996567
5,15.57142857,85.25383715,87.06048217,89.84236701,112.2505037,114.6633739,99.65549293
6,15.71428571,86.59732727,88.41744154,91.22006645,113.7952647,116.2261239,101.1063531
7,15.85714286,87.94604879,89.77963233,92.60299729,115.3452572,117.7941052,102.5624448
8,16,89.2998999,91.14695269,93.99105772,116.9003792,119.3672162,104.0236659
9,16.14285714,90.65877905,92.5193011,95.38414619,118.4605293,120.9453551,105.4899152
10,16.28571429,92.02258472,93.89657603,96.78216118,120.0256059,122.5284206,106.9610909
11,16.42857143,93.39121508,95.27867565,98.18500086,121.5955071,124.1163108,108.4370914
12,16.57142857,94.76456861,96.66549844,99.59256371,123.1701316,125.7089242,109.917815
13,16.71428571,96.14254366,98.05694275,101.0047481,124.7493775,127.3061591,111.4031601
14,16.85714286,97.52503872,99.45290707,102.4214525,126.3331435,128.9079139,112.8930253
15,17,98.91195195,100.8532896,103.842575,127.9213277,130.514087,114.3873086
16,17.14285714,100.3031818,102.2579887,105.2680142,129.5138285,132.1245767,115.8859086
17,17.28571429,101.6986268,103.6669029,106.6976685,131.1105444,133.7392815,117.3887237
18,17.42857143,103.0981851,105.0799305,108.1314361,132.7113736,135.3580996,118.895652
19,17.57142857,104.5017551,106.4969698,109.5692155,134.3162145,136.9809295,120.4065921
20,17.71428571,105.9092353,107.9179192,111.0109049,135.9249656,138.6076695,121.9214424
21,17.85714286,107.320524,109.3426772,112.456403,137.5375253,140.2382181,123.4401012
22,18,108.7355196,110.771142,113.9056079,139.1537917,141.8724734,124.9624668
23,18.14285714,110.1541203,112.203212,115.358418,140.7736634,143.510334,126.4884377
24,18.28571429,111.5762248,113.6387857,116.8147318,142.3970388,145.1516983,128.0179123
25,18.42857143,113.0017312,115.0777614,118.2744474,144.0238161,146.7964645,129.5507887
26,18.57142857,114.4305379,116.5200373,119.7374635,145.6538937,148.444531,131.0869655
27,18.71428571,115.8625433,117.965512,121.2036782,147.28717,150.0957963,132.626341
28,18.85714286,117.2976459,119.4140839,122.6729902,148.9235436,151.7501587,134.1688137
29,19,118.7357439,120.8656512,124.1452975,150.5629125,153.4075165,135.7142818
30,19.14285714,120.1767357,122.3201122,125.6204986,152.2051752,155.0677682,137.2626437
31,19.28571429,121.6205199,123.7773656,127.0984921,153.8502303,156.7308122,138.8137979
32,19.42857143,123.0669945,125.2373095,128.579176,155.4979758,158.3965466,140.3676426
33,19.57142857,124.516058,126.6998423,130.0624489,157.1483103,160.06487,141.9240763
34,19.71428571,125.9676089,128.1648624,131.5482091,158.801132,161.7356807,143.4829972
35,19.85714286,127.4215456,129.6322684,133.036355,160.4563396,163.4088772,145.044304
36,20,128.8777662,131.1019582,134.526785,162.1138312,165.0843576,146.6078947
37,20.14285714,130.3361692,132.5738306,136.0193974,163.7735051,166.7620205,148.1736678
38,20.28571429,131.7966532,134.0477838,137.5140906,165.43526,168.4417643,149.7415219
39,20.42857143,133.2591162,135.5237161,139.010763,167.0989939,170.1234871,151.311355
40,20.57142857,134.7234568,137.0015259,140.5093129,168.7646054,171.8070875,152.8830657
41,20.71428571,136.1895733,138.4811116,142.0096387,170.4319928,173.4924638,154.4565522
42,20.85714286,137.6573641,139.9623718,143.5116389,172.1010546,175.1795145,156.0317132
43,21,139.1267276,141.4452044,145.0152116,173.771689,176.8681378,157.6084467
44,21.14285714,140.597562,142.9295081,146.5202554,175.4437943,178.558232,159.1866512
45,21.28571429,142.069766,144.4151813,148.0266686,177.1172692,180.2496958,160.7662253
46,21.42857143,143.5432376,145.9021222,149.5343496,178.7920117,181.9424272,162.347067
47,21.57142857,145.0178753,147.3902292,151.0431966,180.4679204,183.6363248,163.9290748
48,21.71428571,146.4935776,148.8794007,152.5531082,182.1448935,185.3312869,165.5121471
49,21.85714286,147.9702428,150.3695352,154.0639828,183.8228297,187.027212,167.0961825
50,22,149.4477692,151.8605309,155.5757185,185.501627,188.7239982,168.681079
51,22.14285714,150.9260552,153.3522862,157.0882138,187.1811839,190.421544,170.2667351
52,22.28571429,152.4049993,154.8446995,158.6013672,188.861399,192.119748,171.8530493
53,22.42857143,153.8844997,156.3376692,160.1150769,190.5421703,193.8185082,173.4399197
54,22.57142857,155.3644548,157.8310935,161.6292414,192.2233963,195.5177231,175.0272449
55,22.71428571,156.844763,159.324871,163.1437589,193.9049754,197.2172911,176.6149232
56,22.85714286,158.3253228,160.8189,164.658528,195.5868061,198.9171107,178.2028531
57,23,159.8060323,162.3130788,166.1734468,197.2687865,200.6170801,179.7909327
58,23.14285714,161.2867901,163.8073058,167.6884139,198.9508152,202.3170977,181.3790605
59,23.28571429,162.7674945,165.3014795,169.2033277,200.6327906,204.0170619,182.967135
60,23.42857143,164.2480438,166.7954981,170.7180863,202.3146108,205.716871,184.5550544
61,23.57142857,165.7283364,168.2892599,172.2325882,203.9961743,207.4164235,186.1427171
62,23.71428571,167.2082707,169.7826635,173.7467318,205.6773795,209.1156176,187.7300215
63,23.85714286,168.6877452,171.2756073,175.2604157,207.358125,210.814352,189.3168661
64,24,170.1666581,172.7679894,176.7735378,209.0383087,212.5125246,190.903149
65,24.14285714,171.6449077,174.2597083,178.2859968,210.7178293,214.2100341,192.4887688
66,24.28571429,173.1223926,175.7506625,179.797691,212.3965851,215.9067789,194.0736238
67,24.42857143,174.599011,177.2407501,181.3085187,214.0744744,217.6026571,195.6576123
68,24.57142857,176.0746613,178.7298697,182.8183784,215.7513956,219.2975672,197.2406327
69,24.71428571,177.5492419,180.2179195,184.3271683,217.4272472,220.9914076,198.8225833
70,24.85714286,179.0226513,181.7047982,185.834787,219.1019275,222.6840768,200.4033628
71,25,180.4947876,183.1904037,187.3411326,220.7753347,224.375473,201.9828692
72,25.14285714,181.9655493,184.6746347,188.8461037,222.4473673,226.0654945,203.561001
73,25.28571429,183.4348349,186.1573896,190.3495986,224.1179238,227.7540399,205.1376567
74,25.42857143,184.9025426,187.6385665,191.8515155,225.7869024,229.4410074,206.7127344
75,25.57142857,186.3685707,189.1180639,193.351753,227.4542015,231.1262954,208.2861327
76,25.71428571,187.8328178,190.5957802,194.8502094,229.1197194,232.8098023,209.8577498
77,25.85714286,189.2951822,192.0716139,196.3467831,230.7833548,234.4914265,211.4274843
78,26,190.7555622,193.5454631,197.8413724,232.4450056,236.1710663,212.9952344
79,26.14285714,192.2138561,195.0172263,199.3338757,234.1045705,237.8486201,214.5608984
80,26.28571429,193.6699626,196.486802,200.8241914,235.7619479,239.5239863,216.1243749
81,26.42857143,195.1237796,197.9540883,202.3122178,237.4170358,241.1970632,217.6855621
82,26.57142857,196.5752058,199.4189838,203.7978533,239.0697329,242.8677492,219.2443584
83,26.71428571,198.0241395,200.8813867,205.2809963,240.7199375,244.5359427,220.8006621
84,26.85714286,199.4704791,202.3411956,206.7615453,242.3675481,246.2015422,222.3543719
85,27,200.9141229,203.7983086,208.2393984,244.0124628,247.8644458,223.9053857
86,27.14285714,202.3549692,205.2526243,209.714454,245.65458,249.524552,225.4536021
87,27.28571429,203.7929167,206.7040409,211.1866108,247.2937984,251.1817592,226.9989197
88,27.42857143,205.2278633,208.1524569,212.6557668,248.930016,252.8359657,228.5412364
89,27.57142857,206.6597077,209.5977705,214.1218205,250.5631313,254.4870699,230.0804509
90,27.71428571,208.0883482,211.0398802,215.5846703,252.1930427,256.1349702,231.6164614
91,27.85714286,209.5136832,212.4786845,217.0442146,253.8196486,257.7795651,233.1491666
92,28,210.935611,213.9140815,218.5003517,255.4428473,259.4207526,234.6784644
93,28.14285714,212.3540299,215.3459697,219.9529799,257.0625371,261.0584314,236.2042534
94,28.28571429,213.7688385,216.7742476,221.4019978,258.6786166,262.6924998,237.7264321
95,28.42857143,215.1799349,218.1988133,222.8473036,260.290984,264.3228561,239.2448986
96,28.57142857,216.5872177,219.6195653,224.2887957,261.8995376,265.9493987,240.7595514
97,28.71428571,217.9905851,221.0364019,225.7263724,263.504176,267.5720259,242.270289
98,28.85714286,219.3899357,222.4492218,227.1599323,265.1047975,269.1906363,243.7770096
99,29,220.7851675,223.8579229,228.5893735,266.7013003,270.805128,245.2796116
100,29.14285714,222.1761792,225.2624039,230.0145945,268.2935829,272.4153995,246.7779934
101,29.28571429,223.5628692,226.6625631,231.4354938,269.8815437,274.0213493,248.2720534
102,29.42857143,224.9451355,228.0582987,232.8519695,271.465081,275.6228755,249.7616898
103,29.57142857,226.3228768,229.4495092,234.26392,273.0440932,277.2198766,251.2468012
104,29.71428571,227.6959914,230.836093,235.6712439,274.6184786,278.812251,252.7272858
105,29.85714286,229.0643776,232.2179486,237.0738395,276.1881359,280.3998971,254.2030422
106,30,230.4279338,233.594974,238.471605,277.752963,281.9827131,255.6739685
107,30.01428571,230.5640199,233.732407,238.611112,277.9091761,282.1407251,255.8207915
108,30.14285714,231.7865584,234.9670679,239.864439,279.3128585,283.5605975,257.1399632
109,30.28571429,233.1401499,236.3341286,241.2522397,280.8677209,285.1334488,258.6009247
110,30.42857143,234.4886064,237.6960543,242.6349055,282.4174482,286.7011651,260.0567513
111,30.57142857,235.8318263,239.0527436,244.0123348,283.9619391,288.2636449,261.5073413
112,30.71428571,237.1697082,240.4040947,245.384426,285.5010919,289.8207866,262.9525933
113,30.85714286,238.5021503,241.7500061,246.7510775,287.034805,291.3724886,264.3924055
114,31,239.829051,243.090376,248.1121875,288.5629766,292.9186491,265.8266763
115,31.14285714,241.1503087,244.425103,249.4676545,290.0855052,294.4591666,267.2553041
116,31.28571429,242.4658218,245.7540853,250.8173769,291.6022892,295.9939395,268.6781873
117,31.42857143,243.7754886,247.0772213,252.161253,293.1132269,297.5228661,270.0952241
118,31.57142857,245.0792074,248.3944094,253.4991811,294.6182166,299.0458448,271.506313
119,31.71428571,246.3768767,249.705548,254.8310598,296.1171568,300.5627739,272.9113524
120,31.85714286,247.6683949,251.0105355,256.1567873,297.609946,302.0735519,274.3102407
121,32,248.9536603,252.3092701,257.476262,299.0964822,303.5780771,275.7028762
122,32.14285714,250.2325712,253.6016503,258.7893822,300.5766641,305.0762479,277.0891572
123,32.28571429,251.5050262,254.8875745,260.0960465,302.05039,306.5679627,278.4689822
124,32.42857143,252.7709234,256.1669409,261.396153,303.5175581,308.0531197,279.8422495
125,32.57142857,254.0301612,257.4396481,262.6896002,304.9780668,309.5316174,281.2088575
126,32.71428571,255.2826382,258.7055943,263.9762864,306.4318147,311.0033541,282.5687045
127,32.85714286,256.5282526,259.964678,265.2561102,307.8787001,312.4682284,283.921689
128,33,257.7669028,261.2167974,266.5289697,309.3186212,313.9261384,285.2677093
129,33.14285714,258.9984871,262.461851,267.7947634,310.7514764,315.3769826,286.6066637
130,33.28571429,260.2229041,263.6997372,269.0533896,312.1771643,316.8206594,287.9384508
131,33.42857143,261.4400519,264.9303543,270.3047468,313.595583,318.257067,289.2629686
132,33.57142857,262.649829,266.1536006,271.5487332,315.006631,319.6861039,290.5801158
133,33.71428571,263.8521337,267.3693746,272.7852472,316.4102066,321.1076684,291.8897906
134,33.85714286,265.0468645,268.5775747,274.0141874,317.8062084,322.5216591,293.1918916
135,34,266.2339197,269.7780991,275.2354519,319.1945345,323.9279741,294.4863168
136,34.14285714,267.4131976,270.9708463,276.4489391,320.5750833,325.3265118,295.7729648
137,34.28571429,268.5845968,272.1557147,277.6545476,321.9477534,326.7171708,297.0517341
138,34.42857143,269.7480153,273.3326026,278.8521755,323.3124429,328.0998492,298.3225227
139,34.57142857,270.9033518,274.5014083,280.0417212,324.6690502,329.4744455,299.5852293
140,34.71428571,272.0505045,275.6620302,281.2230833,326.0174739,330.840858,300.839752
141,34.85714286,273.1893719,276.8143669,282.39616,327.3576122,332.1989853,302.0859895
142,35,274.3198522,277.9583165,283.5608496,328.6893634,333.5487254,303.3238399
143,35.14285714,275.4418439,279.0937774,284.7170506,330.012626,334.8899769,304.5532017
144,35.28571429,276.5552454,280.2206482,285.8646614,331.3272984,336.2226382,305.7739733
145,35.42857143,277.6599549,281.3388269,287.0035803,332.6332789,337.5466076,306.9860529
146,35.57142857,278.7558709,282.4482122,288.1337056,333.9304658,338.8617834,308.189339
147,35.71428571,279.8428917,283.5487023,289.2549357,335.2187575,340.168064,309.3837299
148,35.85714286,280.9209159,284.6401957,290.3671692,336.4980526,341.465348,310.5691241
149,36,281.9898415,285.7225906,291.4703041,337.7682491,342.7535335,311.7454198
150,36.14285714,283.0495671,286.7957854,292.5642391,339.0292456,344.0325189,312.9125155
151,36.28571429,284.0999911,287.8596787,293.6488724,340.2809406,345.3022027,314.0703096
152,36.42857143,285.1410117,288.9141686,294.7241023,341.5232321,346.5624832,315.2187004
153,36.57142857,286.1725274,289.9591536,295.7898274,342.7560187,347.8132587,316.3575861
154,36.71428571,287.1944366,290.994532,296.8459458,343.9791988,349.0544277,317.4868654
155,36.85714286,288.2066376,292.0202022,297.8923562,345.1926707,350.2858885,318.6064365
156,37,289.2090288,293.0360626,298.9289566,346.3963328,351.5075395,319.7161977
157,37.14285714,290.2015084,294.0420116,299.9556457,347.5900834,352.719279,320.8160475
158,37.28571429,291.1839751,295.0379475,300.9723217,348.773821,353.9210055,321.9058843
159,37.42857143,292.156327,296.0237687,301.9788829,349.9474438,355.1126173,322.9856063
160,37.57142857,293.1184626,296.9993735,302.9752278,351.1108503,356.2940127,324.0551119
161,37.71428571,294.0702802,297.9646604,303.9612547,352.2639389,357.4650901,325.1142996
162,37.85714286,295.0116783,298.9195278,304.9368621,353.4066079,358.6257481,326.1630678
163,38,295.9425551,299.8638738,305.9019483,354.5387556,359.7758847,327.2013147
164,38.14285714,296.8628091,300.7975971,306.8564115,355.6602805,360.9153985,328.2289388
165,38.28571429,297.7723386,301.7205958,307.8001504,356.7710809,362.0441878,329.2458384
166,38.42857143,298.671042,302.6327685,308.7330631,357.8710552,363.162151,330.2519118
167,38.57142857,299.5588176,303.5340134,309.655048,358.9601017,364.2691865,331.2470575
168,38.71428571,300.4355639,304.4242289,310.5660036,360.0381189,365.3651925,332.2311739
169,38.85714286,301.3011792,305.3033135,311.4658283,361.1050052,366.4500677,333.2041593
170,39,302.1555618,306.1711654,312.3544202,362.1606587,367.5237102,334.165912
171,39.14285714,302.9986102,307.027683,313.2316779,363.204978,368.5860184,335.1163305
172,39.28571429,303.8302228,307.8727648,314.0974998,364.2378615,369.6368908,336.0553131
173,39.42857143,304.6502978,308.7063091,314.9517841,365.2592074,370.6762256,336.9827582
174,39.57142857,305.4587336,309.5282142,315.7944293,366.2689141,371.7039212,337.8985641
175,39.71428571,306.2554287,310.3383785,316.6253336,367.2668801,372.7198761,338.8026293
176,39.85714286,307.0402814,311.1367005,317.4443957,368.2530038,373.7239887,339.6948521
177,40,307.81319,311.9230784,318.2515136,369.2271833,374.7161571,340.5751308
